Spin Rotation,Flip Rotation,Body Rotation,Active Stance,Trick Name
0,0,0,0,Ollie
0,0,0,2,Nollie
-180,0,0,0,Backside Shuv
-180,360,0,0,Varial Kickflip
-180,-360,0,0,Inward Heelflip
-180,720,0,0,Nightmare Flip
-180,-720,0,0,Inward Double Heelflip (Backside Shuv + Double Heelflip)
-360,0,0,0,Backside 360 Shuv
-360,360,0,0,Tre Flip
-360,-360,0,0,360 Inward Heelflip
-360,720,0,0,360 Double Flip
-360,-720,0,0,360 Inward Double Heelflip (360 Inward Double Heelflip)
-540,0,0,0,Backside 540 Shuv
-540,360,0,0,540 Flip
-540,-360,0,0,540 Inward Heelflip
-540,720,0,0,540 Double Flip (BS 540 Double Kickflip)
-540,-720,0,0,540 Inward Double Heelflip (BS 540 Double Heelflip)
-720,0,0,0,Backside 720 Shuv
-720,360,0,0,720 Flip
-720,-360,0,0,720 Inward Heelflip
-720,720,0,0,720 Double Flip (BS 720 Double Kickflip)
-720,-720,0,0,720 Inward Double Heelflip (BS 720 Double Heelflip)
180,0,0,0,Frontside Shuv
180,360,0,0,Hardflip
180,-360,0,0,Varial Heelflip
180,720,0,0,Hard Doubleflip(Hard Hardflip)
180,-720,0,0,Daydream Flip (Frontside Shuv + Double Heelflip)
360,0,0,0,Frontside 360 Shuv
360,360,0,0,360 Hardflip
360,-360,0,0,Laser Flip
360,720,0,0,360 Hard Doubleflip
360,-720,0,0,360 Daydream Flip(FS 360 Double Heelflip)
540,0,0,0,Frontside 540 Shuv
540,360,0,0,540 Hardflip
540,-360,0,0,540 Laser Flip
540,720,0,0,540 Hard Doubleflip
540,-720,0,0,540 Daydream Flip (FS 540 Double Heelflip)
720,0,0,0,Frontside 720 Shuv
720,360,0,0,720 Hardflip
720,-360,0,0,720 Laser Flip
720,720,0,0,720 Hard Doubleflip
720,-720,0,0,720 Daydream Flip (FS 720 Double Heelflip)
0,360,0,0,Kickflip
0,-360,0,0,Heelflip
0,720,0,0,Double Kickflip
0,-720,0,0,Double Heelflip
0,1080,0,0,Triple Kickflip
0,-1080,0,0,Triple Heelflip
0,1440,0,0,Quad Kickflip
0,-1440,0,0,Quad Heelflip
-180,0,-180,0,Backside 180
180,0,180,0,Frontside 180
-360,0,-360,0,Backside 360
360,0,360,0,Frontside 360
-540,0,-540,0,Backside 540
540,0,540,0,Frontside 540
-720,0,-720,0,Backside 720
720,0,720,0,Frontside 720
-900,0,-900,0,Backside 900
900,0,900,0,Frontside 900
-1080,0,-1080,0,Backside 1080
1080,0,1080,0,Frontside 1080
-180,360,-180,0,Backside Flip
-180,-360,-180,0,Backside Heelflip
-180,720,-180,0,Backside Double Kickflip
-180,-720,-180,0,Backside Double Heelflip
-180,1080,-180,0,Backside Triple Kickflip
-180,-1080,-180,0,Backside Triple Heelflip
-360,360,-180,0,Bigflip
-360,-360,-180,0,Inward Bigflip
-360,720,-180,0,Big Double Flip
-360,-720,-180,0,Inward Big Double Flip
-540,360,-180,0,Gazelle Flip
-540,-360,-180,0,Bigspin Inward Heelflip
-540,720,-180,0,Gazelle Double Flip
-540,-720,-180,0,Bigspin Inward Double Heelflip
-180,360,180,0,Twisted Flip
-180,-360,180,0,Inward Heelflip + FS Body Varial (*)
-180,720,180,0,Twisted Double Kickflip
-180,-720,180,0,Inward Double Heelflip + FS Body Varial (*)
-180,1080,180,0,Twisted Triple Kickflip
-180,-1080,180,0,Inward Triple Heelflip + FS Body Varial (*)
-360,360,180,0,360 Twisted Flip
-360,-360,180,0,360 Inward Heelflip + FS Body Varial (Like a Twisted Flip for 360 Inward Heelflips)
-360,720,180,0,360 Twisted Double Flip
-360,-720,180,0,Inward Double Heelflip + FS Body Varial (*)
-540,360,180,0,540 Twisted Flip
-540,-360,180,0,540 Inward Heelflip + FS Body Varial (Like a Twisted Flip for 540 Inward Heelflips)
-540,720,180,0,540 Twisted Double Flip
-540,-720,180,0,Inward Double Heelflip + FS Body Varial (*)
180,360,180,0,Frontside Flip
180,-360,180,0,Frontside Heelflip
180,720,180,0,Frontside Double Kickflip
180,-720,180,0,Frontside Double Heelflip
180,1080,180,0,Frontside Triple Kickflip
180,-1080,180,0,Frontside Triple Heelflip
360,360,180,0,Frontside Bigflip
360,-360,180,0,Big Heelflip
360,720,180,0,Frontside Big Doubleflip
360,-720,180,0,Big Double Heelflip
540,360,180,0,Frontside Biggerflip
540,-360,180,0,Bigger Heelflip
540,720,180,0,Frontside Bigger Double Flip
540,-720,180,0,Bigger Double Heelflip
180,360,-180,0,Hardflip + BS Body Varial (*)
180,-360,-180,0,Inward Heelflip + BS Body Varial (*)
180,720,-180,0,Hard Doubleflip + BS Body Varial (*)
180,-720,-180,0,Inward Double Heelflip + BS Body Varial (*)
180,1080,-180,0,Hard Triple Kickflip + BS Body Varial (*)
180,-1080,-180,0,Inward Triple Heelflip + BS Body Varial (*)
360,360,-180,0,360 Hardflip + BS Body Varial (*)
360,-360,-180,0,360 Inward Heelflip + BS Body Varial (*)
360,720,-180,0,360 Hard Doubleflip + BS Body Varial (*)
360,-720,-180,0,360 Inward Double Heelflip + BS Body Varial (*)
540,360,-180,0,540 Hardflip + BS Body Varial (*)
540,-360,-180,0,540 Inward Heelflip + BS Body Varial (*)
540,720,-180,0,540 Hard Doubleflip + BS Body Varial (*)
540,-720,-180,0,540 Inward Double Heelflip + BS Body Varial (*)
-360,0,-180,0,Bigspin
360,0,180,0,Frontside Bigspin
-360,0,180,0,Anti Bigspin
360,0,-180,0,Frontside Anti Bigspin
-540,0,-180,0,Bigger Spin (540 Shuv with BS 180 Body Rotation)
540,0,180,0,Frontside Bigger Spin (540 Shuv with FS 180 Body Rotation)
-540,0,180,0,Anti Bigger Spin (540 Shuv with FS 180 Body Rotation)
540,0,-180,0,Frontside Anti Bigger Spin (540 Shuv with BS 180 Body Rotation)
-720,0,-180,0,720 Bigspin (720 Shuv with BS 180 Body Rotation)
720,0,180,0,Frontside 720 Bigspin (720 Shuv with FS 180 Body Rotation)
-720,0,180,0,Anti 720 Bigspin (720 Shuv with FS 180 Body Rotation)
